name,original_url,cover_url,cover_type
auto_045_aalaporaan_tamizhan_mersal,https://www.youtube.com/watch?v=3XmrZaVVUpc,https://www.youtube.com/watch?v=Q81JT8bu1rI,piano
auto_046_kuyil_paatu_mani_ratnam,https://www.youtube.com/watch?v=6dYsjeWjBks,https://www.youtube.com/watch?v=jgY970dEJRE,piano
auto_047_mudhal_murai_paarthein,https://www.youtube.com/watch?v=20oX3LsLKpk,https://www.youtube.com/watch?v=idoveDYcn30,piano
auto_048_rajavin_parvaiyile_rajinikanth,https://www.youtube.com/watch?v=pO5wO9tMeIA,https://www.youtube.com/watch?v=y10ZxcKJigs,piano
auto_049_ninaithale_inikkum_classic_tamil,https://www.youtube.com/watch?v=G0fJmoD7iXw,https://www.youtube.com/watch?v=4Kkf9apfJTE,piano
auto_050_keladi_kanmani_keladi_kanmani,https://www.youtube.com/watch?v=4qZHOjaL7XI,https://www.youtube.com/watch?v=Nnta7YaO5ak,piano
auto_051_saayndhu_saayndhu_vaa,https://www.youtube.com/watch?v=EProGz3GsNg,https://www.youtube.com/watch?v=MFt9dluQgAQ,piano
auto_052_andangkaka_kaaki_sattai,https://www.youtube.com/watch?v=fn8f9mA0tso,https://www.youtube.com/watch?v=witl2JodL4s,piano
auto_053_venmegam_kanden_kadhalai,https://www.youtube.com/watch?v=e_GJHaYTiQ8,https://www.youtube.com/watch?v=lCT_NlJobZE,piano
auto_054_irandaam_ulagam_title_song,https://www.youtube.com/watch?v=psRkTSS_g6I,https://www.youtube.com/watch?v=VDrlJ09gpSk,piano
auto_055_kadhal_sadugudu_alaipayuthey,https://www.youtube.com/watch?v=R-ncB1hnEus,https://www.youtube.com/watch?v=rre4-1C98Kk,piano
auto_056_oh_maname_minsara_kanavu,https://www.youtube.com/watch?v=XyOXrwl9QYU,https://www.youtube.com/watch?v=VTRtW_DNt6c,piano
auto_057_unnai_kaanadhu_naan,https://www.youtube.com/watch?v=p7GmO8ewjmw,https://www.youtube.com/watch?v=s5B3Hl7DHqA,piano
auto_058_vaa_vaa_anbe_anbe,https://www.youtube.com/watch?v=eNQfa3lNNJA,https://www.youtube.com/watch?v=k0V1jY2Trr0,piano
auto_059_kannamoochi_yenada_kandukonden,https://www.youtube.com/watch?v=Vbuqw3PcvCs,https://www.youtube.com/watch?v=dPEwLVbg1j0,piano
auto_060_enna_solla_pogirai_kandukondein,https://www.youtube.com/watch?v=5_eAAZ9CgHA,https://www.youtube.com/watch?v=Y976hP0Ra0M,piano
auto_061_panivizhum_malarvanam_mouna_ragam,https://www.youtube.com/watch?v=-8v8gZaR09c,https://www.youtube.com/watch?v=KDcJp7oJz1U,piano
auto_062_mazhai_kuruvi_azhagan,https://www.youtube.com/watch?v=J5jLiEC8uRE,https://www.youtube.com/watch?v=C7k9ni1fCjI,piano
